latitude,longitude,altitude,geometry,coordinates,@id,building,building:levels,height,name
,,,Polygon,"72.5011804,23.0780437,72.5013051,23.0774165,72.5013683,23.0774419,72.5014337,23.0774575,72.5014917,23.0774663,72.5015504,23.0774578,72.5015345,23.0775376,72.5016133,23.0775509,72.5016025,23.0776052,72.5015237,23.077592,72.5014257,23.078085,72.501306,23.0780816,72.5011804,23.0780437",way/367756134,yes,,,
,,,Polygon,"72.5023425,23.0786406,72.5024102,23.0786045,72.5024006,23.0785892,72.5024385,23.078569,72.5024482,23.0785843,72.5024581,23.078579,72.5024369,23.0785453,72.5024948,23.0785145,72.5025333,23.0785756,72.502477,23.0786056,72.5025051,23.0786503,72.5024696,23.0786692,72.5024488,23.0786361,72.5024166,23.0786532,72.5024375,23.0786863,72.5023994,23.0787065,72.5023795,23.0786749,72.502368,23.0786811,72.5023425,23.0786406",way/367756156,yes,,,
,,,Polygon,"72.5009471,23.0775777,72.5009648,23.0774935,72.5009888,23.0774977,72.501,23.0774443,72.500976,23.0774401,72.5009934,23.0773573,72.5010959,23.0773755,72.5010814,23.0774443,72.5010993,23.0774475,72.5011135,23.0773795,72.5012048,23.0773958,72.5011873,23.0774792,72.5011765,23.0774773,72.5011479,23.0776133,72.5011212,23.0776086,72.5011236,23.077597,72.5011039,23.0775935,72.5011014,23.0776051,72.5010144,23.0775896,72.5010167,23.0775786,72.5009993,23.0775755,72.500997,23.0775865,72.5009471,23.0775777",way/367756168,yes,,,
,,,Polygon,"72.4995516,23.0786375,72.4995405,23.0785963,72.4995555,23.0785929,72.4995443,23.0785515,72.4995293,23.0785549,72.4995009,23.0784498,72.499516,23.0784464,72.499505,23.0784055,72.4994898,23.078409,72.499479,23.0783689,72.4996129,23.0783383,72.4996298,23.078401,72.499624,23.0784024,72.4996288,23.07842,72.4996559,23.0784138,72.4996515,23.0783974,72.4996455,23.0783988,72.4996282,23.0783348,72.4997556,23.0783056,72.4998282,23.0785742,72.4996965,23.0786044,72.4996785,23.078538,72.4996856,23.0785364,72.4996812,23.0785204,72.4996578,23.0785258,72.4996618,23.0785405,72.4996678,23.0785391,72.4996861,23.0786068,72.4995516,23.0786375",way/367756177,yes,,,
,,,Polygon,"72.4994721,23.0783319,72.4994609,23.0782907,72.4994759,23.0782873,72.4994647,23.0782459,72.4994497,23.0782493,72.4994213,23.0781442,72.4994365,23.0781407,72.4994254,23.0780999,72.4994103,23.0781034,72.4993994,23.0780633,72.4995333,23.0780327,72.4995503,23.0780954,72.4995444,23.0780967,72.4995492,23.0781144,72.4995763,23.0781081,72.4995719,23.0780918,72.4995659,23.0780932,72.4995486,23.0780292,72.4996761,23.078,72.4997487,23.0782686,72.4996169,23.0782988,72.499599,23.0782324,72.499606,23.0782308,72.4996017,23.0782148,72.4995783,23.0782201,72.4995822,23.0782348,72.4995882,23.0782335,72.4996065,23.0783011,72.4994721,23.0783319",way/367756179,yes,,,
,,,Polygon,"72.499654,23.0790566,72.4996428,23.0790154,72.4996578,23.079012,72.4996466,23.0789706,72.4996316,23.078974,72.4996032,23.0788689,72.4996184,23.0788655,72.4996073,23.0788246,72.4995922,23.0788281,72.4995813,23.078788,72.4997152,23.0787574,72.4997322,23.0788201,72.4997263,23.0788215,72.4997311,23.0788391,72.4997582,23.0788329,72.4997538,23.0788165,72.4997478,23.0788179,72.4997305,23.0787539,72.499858,23.0787248,72.4999306,23.0789934,72.4997988,23.0790235,72.4997809,23.0789571,72.4997879,23.0789555,72.4997836,23.0789395,72.4997602,23.0789449,72.4997642,23.0789596,72.4997702,23.0789582,72.4997885,23.0790259,72.499654,23.0790566",way/367756180,yes,,,
,,,Polygon,"72.499746,23.0793655,72.4997348,23.0793243,72.4997498,23.0793208,72.4997386,23.0792794,72.4997236,23.0792828,72.4996952,23.0791778,72.4997104,23.0791743,72.4996994,23.0791334,72.4996842,23.0791369,72.4996734,23.0790969,72.4998072,23.0790662,72.4998242,23.0791289,72.4998184,23.0791303,72.4998231,23.0791479,72.4998503,23.0791417,72.4998458,23.0791253,72.4998398,23.0791267,72.4998225,23.0790627,72.49995,23.0790336,72.5000226,23.0793022,72.4998908,23.0793323,72.4998729,23.0792659,72.4998799,23.0792643,72.4998756,23.0792483,72.4998522,23.0792537,72.4998562,23.0792684,72.4998622,23.079267,72.4998805,23.0793347,72.499746,23.0793655",way/367756181,yes,,,
,,,Polygon,"72.5005191,23.0777786,72.5005368,23.0776943,72.5005608,23.0776986,72.500572,23.0776452,72.500548,23.0776409,72.5005654,23.0775582,72.5006181,23.0775676,72.5006161,23.0775774,72.5006416,23.077582,72.5006436,23.0775721,72.5006679,23.0775764,72.5006534,23.0776452,72.5006713,23.0776484,72.5006855,23.0775804,72.5007234,23.0775872,72.5007213,23.0775971,72.5007435,23.077601,72.5007456,23.0775911,72.5007768,23.0775966,72.5007593,23.0776801,72.5007485,23.0776782,72.5007199,23.0778142,72.5006932,23.0778095,72.5006956,23.0777978,72.5006759,23.0777943,72.5006734,23.077806,72.5005864,23.0777905,72.5005887,23.0777795,72.5005713,23.0777764,72.500569,23.0777874,72.5005191,23.0777786",way/367756182,yes,,,
,,,Polygon,"72.500891,23.077855,72.5009087,23.0777707,72.5009327,23.077775,72.5009439,23.0777216,72.5009199,23.0777173,72.5009372,23.0776346,72.500986,23.0776433,72.5009837,23.0776544,72.5010054,23.0776583,72.5010078,23.0776471,72.5010398,23.0776528,72.5010253,23.0777216,72.5010432,23.0777248,72.5010574,23.0776568,72.5010992,23.0776643,72.5010981,23.0776695,72.501116,23.0776727,72.5011171,23.0776674,72.5011487,23.077673,72.5011312,23.0777565,72.5011203,23.0777545,72.5010918,23.0778906,72.5010651,23.0778859,72.5010675,23.0778742,72.5010478,23.0778707,72.5010453,23.0778823,72.5009583,23.0778669,72.5009606,23.0778559,72.5009432,23.0778528,72.5009409,23.0778638,72.500891,23.077855",way/367756183,yes,,,
,,,Polygon,"72.5005808,23.0774845,72.5005985,23.0774002,72.5006225,23.0774045,72.5006337,23.0773511,72.5006097,23.0773468,72.500627,23.0772641,72.5006731,23.0772723,72.5006704,23.0772849,72.5006914,23.0772886,72.500694,23.077276,72.5007295,23.0772823,72.5007151,23.0773511,72.5007329,23.0773543,72.5007472,23.0772863,72.5007868,23.0772934,72.5007854,23.0773002,72.5008045,23.0773036,72.5008059,23.0772968,72.5008385,23.0773025,72.500821,23.077386,72.5008101,23.077384,72.5007816,23.0775201,72.5007548,23.0775153,72.5007573,23.0775037,72.5007375,23.0775002,72.5007351,23.0775118,72.500648,23.0774964,72.5006503,23.0774854,72.500633,23.0774823,72.5006307,23.0774933,72.5005808,23.0774845",way/367756185,yes,,,
