-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2018 through 12/31/2024 in LST
Location: Latitude  23.0835   Longitude 72.4954 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 46.53 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (W m-2) 
CLRSKY_SFC_SW_DWN     CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (W m-2) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2018,196.65,224.22,272.77,294.84,307.67,252.32,154.8,149.79,207.01,237.05,196.22,179.63,222.57
ALLSKY_SFC_SW_DWN,2019,195.43,225.02,268.36,300.81,314.35,261.79,193.86,165.77,167.28,214.82,167.9,161.58,219.65
ALLSKY_SFC_SW_DWN,2020,184.23,227.17,258.63,300.5,315.85,251.05,218.1,153.92,214.27,227.67,190.62,172.94,226.1
ALLSKY_SFC_SW_DWN,2021,177.92,233.47,275.43,296.63,278.09,250.93,189.31,188.86,168.88,227.15,175.16,153.04,217.72
ALLSKY_SFC_SW_DWN,2022,186.38,238.8,267.61,302.72,293.75,268.98,171.37,167.53,215.96,229.71,202.46,178.92,226.69
ALLSKY_SFC_SW_DWN,2023,187.05,248.21,241.64,278.58,298.34,236.13,185.07,152.63,202.41,235.94,171.46,162.55,216.35
ALLSKY_SFC_SW_DWN,2024,181.89,219.34,267.38,275.99,297.04,260.05,166.45,152.33,186.62,208.53,195.65,167.32,214.7
CLRSKY_SFC_SW_DWN,2018,198.6,233.14,281.11,307.84,318.45,290.1,269.08,261.45,263.96,240.13,199.74,184.38,254.04
CLRSKY_SFC_SW_DWN,2019,199.66,233.99,282.89,314.3,322.41,302.48,274.36,269.42,253.53,230.82,180.44,168.68,252.79
CLRSKY_SFC_SW_DWN,2020,190.14,232.39,278.02,310.16,324.78,299.99,291.68,278.29,253.21,232.85,192.21,178.41,255.21
CLRSKY_SFC_SW_DWN,2021,181.52,238.31,282.5,309.69,312.04,299.13,281.2,270.89,255.88,235.71,186.9,164.96,251.55
CLRSKY_SFC_SW_DWN,2022,195.78,240.21,276.17,314.66,307.99,300.94,288.87,277.11,259.14,243.85,203.3,181.86,257.5
CLRSKY_SFC_SW_DWN,2023,189.82,250.17,265.47,306.08,317.85,298.24,282.4,255.03,258.09,238.8,179.82,169.73,250.86
CLRSKY_SFC_SW_DWN,2024,188.1,229.39,281.22,300.26,315.08,299.74,278.91,266.55,253.77,228.08,195.7,171.05,250.64
RH2M,2018,26.73,24.49,22.35,26.3,32.85,45.69,72.98,77.73,70.87,42.35,29.31,25.38,41.54
RH2M,2019,23.62,28.46,24.45,25.1,36.43,50.28,66.48,86.09,89.12,81.47,79.74,68.73,55.15
RH2M,2020,54.9,34.23,34.2,25.92,33.62,63.14,75.96,86.36,84.93,71.4,62.22,51.03,56.59
RH2M,2021,39.82,28.6,23.84,26.39,42.39,61.61,70.07,66.12,84.05,70.99,56.91,52.59,52.08
RH2M,2022,46.74,31.17,20.36,24.46,35.75,50.03,82.28,85.45,84.85,67.39,49.92,44.87,52.11
RH2M,2023,37.19,24.53,33.39,30.39,38.01,60.58,85.4,83.44,80.42,64.91,52.04,53.58,53.87
RH2M,2024,41.08,29.47,24.72,26.76,30.43,48.95,76.47,84.19,87.36,80.76,64.59,58.08,54.51
T2M,2018,21.42,25.14,29.07,32.95,35.57,35.36,29.85,28.23,27.73,29.19,25.69,20.12,28.36
T2M,2019,19.35,22.3,27.19,33.33,34.26,34.38,31.37,27.74,27.62,25.71,23.54,18.61,27.13
T2M,2020,17.49,22.18,26.12,33.51,35.72,32.13,30.13,28.28,27.93,26.56,21.42,20.26,26.81
T2M,2021,19.58,23.83,29.44,32.76,33.99,32.14,30.44,30.11,28.25,26.48,23.47,20.36,27.58
T2M,2022,18.83,23.18,29.94,33.83,35.41,33.91,28.52,27.66,27.42,25.83,23.46,21.53,27.47
T2M,2023,18.95,24.31,28.1,31.39,34.14,31.81,28.77,27.45,28.22,26.77,23.99,21.19,27.09
T2M,2024,20.14,23.85,27.44,32.65,36.36,34.93,30.42,28.29,27.37,26.74,22.53,17.94,27.39
